Accel. Pedal Pos. (%),Boost Pressure (psi),Actual AFR (AFR),Airflow Mass (lb/min),Charge Air Temp. (F),Coolant Temp. (F),ETC Angle Actual (degrees),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Gear Current (Gear),Ign Corr. Cyl1 (degrees),Ign Timing Cyl1 (degrees),LTFT (%),Lambda (Raw) (AFR),Load Actual (%),Load Des. TQ Ctl (%),Oct Adj Ratio Lrn (Mult),STFT (%),VCT-E Angle Act. (degrees),VCT-I Angle Act. (degrees),WGDC Actual (%),AP Info:[AP3-FOR-001 v1.7.3.0-17779][USDM 2016 Focus ST (50S)][Reflash: Stage3 93 OCT or 98 RON v504.ptm]
0,-10.19,14.7,0.4,104.2,190.9,1.54,937,1.4,7.7,15,0,14.25,2.34,14.7,0.159,0.163,-1,0,0,0,1.57,0
0,-10.22,14.7,0.4,104.4,191.1,1.6,940,1.4,7.8,15,0,15.97,2.34,14.7,0.157,0.163,-1,0,-0.1,-0.1,0.74,0
0,-10.19,14.7,0.4,104.4,191.1,1.6,942,1.4,7.9,15,0,14.75,2.34,14.7,0.157,0.167,-1,0,0,-0.1,0.81,0
0,-10.2,14.7,0.4,104.4,191.1,1.6,933,1.4,7.9,15,0,10.82,2.34,14.7,0.159,0.162,-1,0,0.1,0,0.85,0
0,-10.19,14.7,0.4,104.4,191.1,1.6,924,1.4,7.9,15,0,10.84,2.34,14.7,0.159,0.162,-1,0,0.1,0,0.84,0
0,-10.19,14.7,0.4,104.4,191.1,1.6,920,1.4,7.7,15,0,11.3,2.34,14.7,0.159,0.164,-1,0,0.1,0.1,0.84,0
0,-10.18,14.7,0.4,104.2,191.1,1.6,903,1.4,8,15,0,12.18,2.34,14.7,0.159,0.18,-1,0,0.1,0.1,0.78,0
0,-10.18,14.7,0.4,104.2,191.1,1.68,895,1.3,7.9,15,0,12.18,2.34,14.7,0.159,0.184,-1,0,0,0,0.7,0
0,-10.14,14.7,0.4,104.4,191.1,1.91,891,1.5,8.9,15,0,38.25,2.34,14.7,0.165,0.267,-1,0,0,0,0.57,0
4,-9.82,14.7,0.4,104.4,191.1,3.58,904,1.8,10.7,15,0,38.25,2.34,14.7,0.165,0.279,-1,0,0,-0.1,0,0
5,-9.28,14.7,0.53,104.2,191.1,4.49,896,3.1,18.4,15,0,34.61,2.34,14.7,0.221,0.281,-1,0,0,-0.1,0,0
5,-8.59,14.85,0.65,104.2,191.1,4.48,869,4.1,24.6,15,0,28.44,2.34,14.85,0.221,0.295,-1,0,0.1,0,0.06,0
6,-8.07,14.85,0.65,104.2,191.1,3.57,810,4,25.7,15,0,28.44,2.34,14.85,0.264,0.308,-1,0.78,0.1,0,1.31,0
6,-7.76,14.85,0.63,104.2,191.1,3.56,776,4.1,27.5,15,0,25.08,2.34,14.85,0.264,0.343,-1,0.78,0.2,0.1,0.38,0
6,-7.58,14.85,0.63,104.4,191.1,3.63,711,4.2,31.3,15,0,22.95,2.34,14.85,0.276,0.37,-1,1.56,0.2,0.1,1.29,0
6,-7.17,14.99,0.63,104.4,191.1,4.29,681,4.7,36.4,15,0,22.95,2.34,14.99,0.276,0.42,-1,1.56,0.2,0.1,0.13,0
8,-6.39,14.99,0.63,104.4,191.1,4.57,650,5.6,44.9,15,0,17.92,2.34,14.99,0.302,0.482,-1,2.34,0.2,0.2,1.55,0
9,-5.7,14.99,0.78,104.4,191.1,5.75,624,6.9,58.1,15,0,16.11,2.34,14.99,0.404,0.565,-1,2.34,0.2,0.1,1.1,0
10,-4.33,14.85,0.78,104.4,191.1,7.23,614,8.1,69.2,15,0,16.11,2.34,14.85,0.404,0.623,-1,1.56,0.2,0.1,0,0
11,-2.72,14.85,0.99,104.4,191.1,11.79,618,10,84.6,15,0,16.11,2.34,14.85,0.586,0.681,-1,0.78,0.1,0,2.69,0
12,-1.43,14.85,1.04,104.4,191.1,13.01,701,13.6,101.9,15,0,10.76,2.34,14.85,0.586,0.697,-1,0.78,0.1,0,6.22,0
12,-0.77,14.99,1.04,104.4,191.1,13.91,765,15.1,104,15,0,10.76,2.34,14.85,0.623,0.69,-1,0.78,0.1,0,18.23,0
12,-0.68,15.14,1.19,104.4,191.1,13.65,888,18,106.5,15,0,10.82,2.34,15.29,0.623,0.689,-1,2.34,0.2,0.1,24.11,0
12,-0.73,15.43,1.19,104.4,191.1,14.32,943,19.4,108.3,15,0,5.71,2.34,15.43,0.627,0.69,-1,3.12,0.1,-0.9,36.19,0
12,-0.94,15.29,1.57,104.4,191.1,14.34,1047,21.8,109.3,15,0,3.4,2.34,15.29,0.627,0.69,-1,1.56,0.1,-1.8,47.07,0
12,-0.73,15.14,1.57,104.4,191.1,16.91,1134,24.4,112.9,15,0,3.12,2.34,15.14,0.657,0.677,-1,0.78,0,-4.1,56.33,0
12,-0.61,15.14,1.95,104.2,191.1,17.5,1224,26.9,115.2,15,0,-0.09,2.34,15.14,0.689,0.668,-1,1.56,-0.1,-8.5,57.57,0
12,-0.79,14.99,1.95,104.2,191.1,15.42,1278,27.3,112,15,0,-0.6,3.12,14.99,0.689,0.659,-1,0.78,-0.1,-10.9,48.62,0
12,-1.13,14.85,2.21,104.4,191.1,13.71,1339,27.9,109.2,15,0,0.49,3.91,14.85,0.679,0.642,-1,0.78,0,-13.1,51.53,0
12,-1.45,14.7,2.21,104.4,191.1,13,1360,27.7,107.1,15,0,0.49,3.91,14.55,0.679,0.61,-1,0.78,0,-15.3,48.91,0
11,-1.6,14.55,2.33,104.4,191.1,11.98,1383,27.8,105.5,15,0,0.78,3.91,14.55,0.66,0.598,-1,0.78,0,-15.3,45.24,0
10,-1.95,14.55,2.3,104.4,191.1,10.51,1404,26.8,100.4,15,0,1.38,3.91,14.55,0.66,0.561,-1,0.78,-0.1,-13.9,43.67,0
9,-2.22,14.55,2.3,104.4,191.1,10.12,1361,25.2,97.1,15,0,0.55,3.91,14.55,0.627,0.539,-1,0.78,-0.1,-12.9,32.4,0
8,-2.45,14.55,2.25,104.4,191.1,9.03,1316,23.6,94.2,15,0,-0.97,3.91,14.55,0.627,0.521,-1,0,0,-9.4,12.15,0
8,-2.55,14.41,2.25,104.4,191.1,8.72,1268,22.6,93.6,15,0,-1.33,3.91,14.41,0.594,0.505,-1,0,0.1,-5.7,6.78,0
8,-2.57,14.41,2.04,104.4,191.1,8.17,1230,21.5,91.9,15,0,-1.46,3.91,14.41,0.594,0.501,-1,-0.78,0.3,-0.9,6.24,0
9,-2.61,14.41,2.04,104.4,191.1,7.52,1281,21.9,89.9,15,0,-1.22,3.12,14.41,0.575,0.493,-1,-0.78,2.4,0,6.55,0
11,-3,14.41,1.8,104.4,191.1,6.66,1346,21.9,85.3,15,0,-1.29,2.34,14.41,0.542,0.194,-1,-1.56,9.7,0.2,3.45,0
